,P1,P2,P3,P4,P5,P6,P7,P8,P9,Gesto
0,"(132, 168)","(416, 330)","(275, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
1,"(132, 168)","(416, 330)","(275, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
2,"(131, 166)","(416, 330)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
3,"(131, 164)","(416, 330)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
4,"(133, 165)","(416, 330)","(278, 463)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
5,"(134, 166)","(414, 329)","(278, 463)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
6,"(134, 166)","(416, 330)","(278, 463)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
7,"(132, 165)","(414, 329)","(278, 463)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
8,"(132, 165)","(414, 329)","(276, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
9,"(132, 165)","(414, 329)","(278, 463)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
10,"(132, 165)","(416, 330)","(278, 463)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
11,"(132, 165)","(416, 330)","(278, 463)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
12,"(132, 165)","(416, 330)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
13,"(132, 165)","(413, 328)","(275, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
14,"(134, 166)","(415, 329)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
15,"(132, 165)","(413, 328)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
16,"(132, 165)","(416, 330)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
17,"(132, 165)","(416, 330)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
18,"(132, 165)","(416, 330)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
19,"(134, 166)","(416, 330)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
20,"(134, 166)","(414, 329)","(278, 463)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
21,"(134, 166)","(416, 330)","(275, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
22,"(132, 165)","(416, 330)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
23,"(134, 166)","(416, 330)","(275, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
24,"(134, 166)","(414, 329)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
25,"(134, 166)","(414, 329)","(278, 463)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
26,"(132, 165)","(414, 329)","(276, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
27,"(133, 166)","(414, 329)","(276, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
28,"(133, 166)","(414, 329)","(278, 463)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
29,"(132, 165)","(414, 329)","(275, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
30,"(135, 167)","(413, 328)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
31,"(132, 165)","(413, 328)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
32,"(132, 165)","(413, 328)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
33,"(135, 167)","(413, 328)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
34,"(132, 165)","(414, 329)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
35,"(134, 166)","(414, 329)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
36,"(134, 166)","(414, 329)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
37,"(132, 165)","(414, 329)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
38,"(132, 165)","(413, 328)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
39,"(132, 165)","(412, 327)","(276, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
40,"(132, 165)","(415, 329)","(276, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
41,"(132, 165)","(413, 328)","(276, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
42,"(132, 165)","(413, 328)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
43,"(132, 165)","(415, 329)","(276, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
44,"(132, 165)","(412, 327)","(276, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
45,"(132, 165)","(412, 327)","(276, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
46,"(132, 165)","(412, 327)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
47,"(132, 165)","(412, 327)","(277, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
48,"(132, 165)","(412, 327)","(276, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
49,"(132, 165)","(414, 328)","(276, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
50,"(134, 166)","(414, 328)","(278, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
51,"(133, 165)","(413, 327)","(277, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
52,"(133, 165)","(412, 326)","(276, 460)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
53,"(134, 166)","(412, 326)","(277, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
54,"(132, 165)","(412, 326)","(277, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
55,"(131, 165)","(413, 326)","(277, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
56,"(131, 166)","(413, 325)","(279, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
57,"(133, 169)","(414, 324)","(277, 460)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
58,"(131, 169)","(414, 323)","(278, 460)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
59,"(130, 169)","(414, 322)","(278, 460)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
60,"(130, 169)","(414, 322)","(278, 460)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
61,"(130, 169)","(413, 322)","(278, 460)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
62,"(130, 169)","(413, 322)","(279, 461)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
63,"(131, 170)","(413, 322)","(280, 462)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
64,"(132, 170)","(415, 324)","(281, 463)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
65,"(134, 170)","(414, 324)","(281, 463)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
66,"(135, 169)","(414, 324)","(281, 463)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
67,"(145, 167)","(417, 326)","(287, 466)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
68,"(150, 164)","(420, 327)","(289, 465)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
69,"(154, 163)","(419, 325)","(291, 464)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
70,"(155, 162)","(421, 326)","(290, 463)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
71,"(154, 160)","(421, 326)","(292, 464)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
72,"(157, 160)","(419, 325)","(291, 463)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
73,"(156, 157)","(421, 327)","(292, 464)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
74,"(161, 157)","(424, 330)","(292, 464)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
75,"(163, 156)","(426, 333)","(291, 464)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
76,"(165, 154)","(430, 340)","(293, 467)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
77,"(170, 154)","(431, 342)","(295, 468)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
78,"(175, 151)","(434, 345)","(297, 469)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
79,"(181, 150)","(436, 347)","(297, 468)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
80,"(181, 148)","(436, 348)","(298, 468)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
81,"(183, 146)","(437, 350)","(298, 468)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
82,"(188, 146)","(438, 351)","(299, 468)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
83,"(188, 144)","(440, 353)","(299, 468)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
84,"(188, 142)","(440, 354)","(299, 468)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
85,"(194, 141)","(441, 356)","(302, 470)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
86,"(198, 140)","(443, 358)","(303, 471)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
87,"(200, 141)","(443, 359)","(301, 470)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
88,"(200, 141)","(444, 361)","(302, 472)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
89,"(202, 142)","(444, 364)","(304, 475)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
90,"(203, 142)","(444, 366)","(303, 475)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
91,"(206, 143)","(446, 369)","(302, 475)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
92,"(207, 143)","(445, 370)","(303, 477)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
93,"(208, 143)","(445, 371)","(304, 478)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
94,"(208, 143)","(446, 372)","(303, 478)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
95,"(208, 143)","(447, 373)","(304, 479)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",5
