,P1,P2,P3,P4,P5,P6,P7,P8,P9,Gesto
0,"(65, 137)","(383, 142)","(307, 334)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
1,"(71, 137)","(387, 143)","(308, 334)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
2,"(71, 135)","(386, 143)","(309, 335)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
3,"(70, 134)","(388, 144)","(308, 335)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
4,"(74, 133)","(385, 144)","(307, 335)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
5,"(76, 132)","(387, 145)","(308, 336)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
6,"(74, 130)","(391, 147)","(308, 337)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
7,"(78, 130)","(392, 148)","(308, 337)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
8,"(78, 130)","(392, 149)","(309, 338)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
9,"(80, 130)","(397, 152)","(310, 340)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
10,"(78, 128)","(398, 154)","(311, 342)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
11,"(80, 127)","(402, 156)","(311, 342)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
12,"(83, 127)","(403, 157)","(311, 343)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
13,"(84, 126)","(403, 159)","(313, 344)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
14,"(84, 125)","(408, 160)","(313, 344)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
15,"(86, 125)","(408, 160)","(313, 344)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
16,"(85, 124)","(403, 160)","(313, 344)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
17,"(86, 124)","(408, 161)","(314, 345)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)","(0, 0)",6
